jv,clean_name_parent
AISINWARNER,AISINSEIKI
BOSCHMAHLETURBOSYSANDGO,BOSCH
TOSHIBACARRIER,CARRIER
SHINCATERPILLARMITSUBISHI,CATERPILLAR
CIBACORNINGDIAGNOSTICS,CIBAGEIGY
DOWCORNING,DOWCHEM
DOWELANCO,DOWCHEM
DOWELLSCHLUMBERGER,DOWCHEM
DUPONTMERCKPHARM,EIDUPONTDENEMOURS
GEHITACHINUCLEARENERGYAMERICAS,GENELEC
BABCOCKHITACHI,HITACHI
FUJITSUHITACHIPLASMADISPLAY,HITACHI
HITACHILGDATASTORAGE,HITACHI
HOECHSTSCHERINGAGREVO,HOECHST
HITACHIJOHNSONCONTROLSAIRCONDITIONING,JOHNSONCONTROLSTECH
LGMAGNAEPOWERTRAIN,LGELECTRONICS
LGNORTEL,LGELECTRONICS
MITSUBISHIHITACHIPWRSYS,MITSUBISHI
SUMITOMOMITSUBISHISILICON,MITSUBISHI
TOSHIBAMITSUBISHIELECINDSYS,MITSUBISHIELEC
NALCOEXXONENERGYCHEM,NALCO
NECCASIOMOBILECOMM,NEC
CHEVRONPHILLIPSCHEM,PHILLIPSPETROLEUM
SAMSUNGCORNING,SAMSUNGELECTRONICS
SONYERICSSONMOBILECOMM,SONY
SUMITOMODAINIPPONPHARM,SUMITOMO
TOSHIBASAMSUNGSTORAGETECHKOREA,TOSHIBA
UNIROYALGOODRICHLICENSINGSVCS,UNIROYAL
